, id,tweet,subtask_b
0,86426,@USER She should ask a few native Americans what their take on this is.,UNT
1,90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,TIN
3,62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",UNT
5,97670,@USER Liberals are all Kookoo !!!,TIN
6,77444,@USER @USER Oh noes! Tough shit.,UNT
7,52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,TIN
9,13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,TIN
12,28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,TIN
19,28195,@USER @USER @USER gun control! That is all these kids are asking for!,TIN
20,56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,TIN
22,12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,TIN
23,82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,TIN
25,77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,TIN
29,25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,UNT
32,12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,TIN
36,12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,TIN
37,14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,TIN
54,84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,TIN
57,98992,@USER Fuck off,TIN
59,33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",TIN
60,75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,TIN
62,57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,TIN
64,74831,@USER Trump kicks dem butt - its so fun.,TIN
65,53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,TIN
68,84664,@USER And this from the clown that should be in prison?,TIN
70,48995,@USER Thats because you are an old man.,TIN
71,47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,TIN
74,64429,@USER I mean it worked for gun control right? URL,TIN
83,45068,@USER She is drinking so much koolaid she’s bloated.,TIN
86,84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,TIN
89,93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,TIN
