 id,text,label
86426.0,<user> ask native americans take,1
90194.0,<user> <user> go home drunk <user> maga trump2020 <emoji : oncoming_fist> <emoji : united_states> <emoji : oncoming_fist> url,1
16820.0,amazon investigating chinese employees selling internal data third party sellers looking edge competitive marketplace url amazon maga kag china tcot,0
62688.0,<user> someone vetaken piece shit volcano <emoji : face_with_tears_of_joy>,1
97670.0,<user> liberals kookoo,1
77444.0,<user> <user> oh noes tough shit,1
52415.0,<user> literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism,1
45157.0,<user> buy icecream,0
13384.0,<user> canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo,1
28414.0,<user> lying corrupt traitor nobody wants hear anymore lies deepstatecorruption url,1
54920.0,<user> <user> <user> scare every american playing hockey warped puck,0
56392.0,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> like soda like like boarders lot ice,0
86735.0,<user> also king taste,0
95686.0,maga <user> <emoji : musical_notes> sing like one listening <emoji : heart_suit> love like never hurt <emoji : check_mark> vote gop one watching <emoji : hear-no-evil_monkey> listen liberals dirt url,0
71446.0,5 5 <user> time right house respond concerns canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,0
23958.0,<user> besides jax mom maybe ope hands favorite like good person show <emoji : face_with_tears_of_joy>,0
56117.0,<user> <user> <user> <user> lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready url,1
12681.0,<user> <user> kind like conservatives wan na associate everyone left communist antifa members,1
82904.0,<user> <user> da fuck going people men room women room pick one stick w <emoji : thinking_face>,1
63236.0,<user> willie fan since born love holding rally beto exactly fans furious could give specifics url,0
77665.0,<user> tbh days like people general connect people days annoyance,1
83484.0,south korean official leaders discuss specific denuke measures pyongyang url tcot maga rednationrising,0
74932.0,<user> <user> tell hooper,0
91252.0,<user> feel like better chasing title,0
25440.0,<user> <user> <user> referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left,1
81613.0,<user> glad see friends supporting metis rights much supporting zionists url,0
82333.0,<user> yes asking movie <emoji : man_shrugging> <emoji : eyes>,0
12609.0,thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck,1
