,Unnamed: 0, id,tweet,subtask_a
0,0.0,86426.0,@USER She should ask a few native Americans what their take on this is.,OFF
1,1.0,90194.0,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF
2,2.0,16820.0,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT
3,3.0,62688.0,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF
4,4.0,43605.0,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT
5,5.0,97670.0,@USER Liberals are all Kookoo !!!,OFF
6,6.0,77444.0,@USER @USER Oh noes! Tough shit.,OFF
7,7.0,52415.0,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF
8,8.0,45157.0,@USER Buy more icecream!!!,NOT
9,9.0,13384.0,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF
10,10.0,82776.0,@USER @USER @USER It’s not my fault you support gun control,NOT
11,11.0,42992.0,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT
12,12.0,28414.0,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF
13,13.0,54920.0,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT
14,14.0,56392.0,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT
15,15.0,86735.0,@USER you are also the king of taste,NOT
