text,label,roberta_results,btweet_results,bert_results,distil_results,rlarge_results,ensemble
first baby growing fast cute fabulous see thanks sharing url,0,0,0,0,0,0,0
<user> yea bitch right getting smacked url,1,1,1,1,1,1,1
<user> <user> dont think moral psychology fix core problem using david brooks model pander right wont fool long url think right embracing fascism survive real possibility,0,0,0,0,0,0,0
<user> good bitch 128527,1,1,1,1,1,1,1
<user> congratulation pun master <emoji : party_popper> <emoji : party_popper>,0,0,0,0,0,0,0
<user> <user> times seems fake made anyway disguised way blatant hatred shows enemy something really knows assumptions made across isle fringe alternative news media,0,1,0,1,0,0,0
wetback looks like gets caught crossing border <user> <url>,1,1,1,0,1,1,1
call ghetto want walking class bonnet hair,1,1,1,1,1,1,1
sex reward relationship nigga never done anything whatsoever yet still give pussy smh,1,1,1,1,1,1,1
<user> horrible,1,1,1,1,0,0,1
13 booom mac telling <user> pay public sector properly magic money tree disaster means nhs crisis competing sectors url,0,0,0,0,0,0,0
<user> <user> <user> memeber antifa url kag2018,0,0,0,0,0,0,0
<user> <user> antifa fascist terrorist,1,1,1,1,1,1,1
<user> gon na get bitten,1,1,0,1,1,1,1
<user> blockhead hoe nothing boo,1,1,1,1,1,1,1
<user> <user> guy explain day good indication youre talking shit,1,1,1,1,1,1,1
<user> oh hope okay,0,0,0,0,0,0,0
<user> used power authoritative position child manipulate get drunk would disposal using gender excuse claiming victim assaulted text messages pictures show otherwise,0,0,0,1,0,0,0
<user> <user> <user> <user> depressing good churches getting hard find far know people belong churches espouse gun control abortion politics god christ,1,0,0,1,1,1,1
<user> chris chris chris forgetting mantra every single libtard pusher common sense gun control guns outlawed criminals voluntarily give guns sense compassion,1,1,1,1,0,1,1
<user> <user> <user> could either liberals like shame anything suspect latter,1,0,0,1,1,0,0
<user> new hero god bless,0,0,0,0,0,0,0
<user> joke another dirty tricks democrat george soros payroll democrat party knows shame maga,1,1,1,1,1,1,1
2 lady nails <emoji : down_arrow> brexit seems unleashed angry incivility unless moderate onenation <user> stand amp fight sensible moderate brexit efta <user> risk becoming hardbrexit party rejected moderates amp replaced corbyn url,0,0,0,0,0,0,0
<user> shid right ya,0,0,1,1,0,0,0
<user> <user> says one one follower following two stand original text demoncraps communist exposethedeepstate enemiesofthestate militarytribunals maga trump walkaway q <user> <user>,0,0,1,0,0,0,0
<user> <user> keep good work jurky ca broke time leave today yes sold property rancho mirage limited hurt,0,0,0,0,0,0,0
<user> entire article piece trash precinct full dumbfuck pigs,1,1,1,1,1,1,1
<user> <user> <user> <user> love u jennifer first crush love,0,0,0,0,0,0,0
